id,category,score,created_at
1,science,98,"2026-03-28 11:48:32"
2,history,20,"2026-03-28 11:48:32"
3,math,57,"2026-03-28 11:48:32"
4,science,86,"2026-03-28 11:48:32"
5,history,32,"2026-03-28 11:48:32"
6,math,11,"2026-03-28 11:48:32"
7,science,87,"2026-03-28 11:48:32"
8,history,44,"2026-03-28 11:48:32"
9,math,77,"2026-03-28 11:48:32"
10,science,60,"2026-03-28 11:48:32"
11,history,70,"2026-03-28 11:48:32"
12,math,69,"2026-03-28 11:48:32"
13,science,20,"2026-03-28 11:48:32"
14,history,30,"2026-03-28 11:48:32"
15,math,72,"2026-03-28 11:48:32"
16,science,67,"2026-03-28 11:48:32"
17,history,11,"2026-03-28 11:48:32"
18,math,73,"2026-03-28 11:48:32"
19,science,40,"2026-03-28 11:48:32"
20,history,46,"2026-03-28 11:48:32"
21,math,85,"2026-03-28 11:48:32"
22,science,55,"2026-03-28 11:48:32"
23,history,73,"2026-03-28 11:48:32"
24,math,2,"2026-03-28 11:48:32"
25,science,99,"2026-03-28 11:48:32"
26,history,10,"2026-03-28 11:48:32"
27,math,42,"2026-03-28 11:48:32"
28,science,22,"2026-03-28 11:48:32"
29,history,89,"2026-03-28 11:48:32"
30,math,55,"2026-03-28 11:48:32"
31,science,13,"2026-03-28 11:48:32"
32,history,95,"2026-03-28 11:48:32"
33,math,10,"2026-03-28 11:48:32"
34,science,65,"2026-03-28 11:48:32"
35,history,65,"2026-03-28 11:48:32"
36,math,61,"2026-03-28 11:48:32"
37,science,24,"2026-03-28 11:48:32"
38,history,27,"2026-03-28 11:48:32"
39,math,3,"2026-03-28 11:48:32"
40,science,90,"2026-03-28 11:48:32"
41,history,49,"2026-03-28 11:48:32"
42,math,24,"2026-03-28 11:48:32"
43,science,45,"2026-03-28 11:48:32"
44,history,24,"2026-03-28 11:48:32"
45,math,23,"2026-03-28 11:48:32"
46,science,66,"2026-03-28 11:48:32"
47,history,45,"2026-03-28 11:48:32"
48,math,81,"2026-03-28 11:48:32"
49,science,61,"2026-03-28 11:48:32"
50,history,81,"2026-03-28 11:48:32"
51,math,19,"2026-03-28 11:48:32"
52,science,29,"2026-03-28 11:48:32"
53,history,6,"2026-03-28 11:48:32"
54,math,21,"2026-03-28 11:48:32"
55,science,37,"2026-03-28 11:48:32"
56,history,97,"2026-03-28 11:48:32"
57,math,41,"2026-03-28 11:48:32"
58,science,20,"2026-03-28 11:48:32"
59,history,93,"2026-03-28 11:48:32"
60,math,28,"2026-03-28 11:48:32"
61,science,83,"2026-03-28 11:48:32"
62,history,62,"2026-03-28 11:48:32"
63,math,18,"2026-03-28 11:48:32"
64,science,60,"2026-03-28 11:48:32"
65,history,3,"2026-03-28 11:48:32"
66,math,37,"2026-03-28 11:48:32"
67,science,85,"2026-03-28 11:48:32"
68,history,62,"2026-03-28 11:48:32"
69,math,28,"2026-03-28 11:48:32"
70,science,79,"2026-03-28 11:48:32"
71,history,50,"2026-03-28 11:48:32"
72,math,83,"2026-03-28 11:48:32"
73,science,49,"2026-03-28 11:48:32"
74,history,5,"2026-03-28 11:48:32"
75,math,52,"2026-03-28 11:48:32"
76,science,93,"2026-03-28 11:48:32"
77,history,44,"2026-03-28 11:48:32"
78,math,88,"2026-03-28 11:48:32"
79,science,16,"2026-03-28 11:48:32"
80,history,60,"2026-03-28 11:48:32"
81,math,11,"2026-03-28 11:48:32"
82,science,55,"2026-03-28 11:48:32"
83,history,14,"2026-03-28 11:48:32"
84,math,19,"2026-03-28 11:48:32"
85,science,61,"2026-03-28 11:48:32"
86,history,65,"2026-03-28 11:48:32"
87,math,46,"2026-03-28 11:48:32"
88,science,64,"2026-03-28 11:48:32"
89,history,77,"2026-03-28 11:48:32"
90,math,88,"2026-03-28 11:48:32"
91,science,0,"2026-03-28 11:48:32"
92,history,62,"2026-03-28 11:48:32"
93,math,9,"2026-03-28 11:48:32"
94,science,82,"2026-03-28 11:48:32"
95,history,38,"2026-03-28 11:48:32"
96,math,63,"2026-03-28 11:48:32"
97,science,62,"2026-03-28 11:48:32"
98,history,22,"2026-03-28 11:48:32"
99,math,9,"2026-03-28 11:48:32"
100,science,36,"2026-03-28 11:48:32"
101,history,52,"2026-03-28 11:48:32"
102,math,38,"2026-03-28 11:48:32"
103,science,18,"2026-03-28 11:48:32"
104,history,97,"2026-03-28 11:48:32"
105,math,34,"2026-03-28 11:48:32"
106,science,16,"2026-03-28 11:48:32"
107,history,6,"2026-03-28 11:48:32"
108,math,9,"2026-03-28 11:48:32"
109,science,41,"2026-03-28 11:48:32"
110,history,62,"2026-03-28 11:48:32"
111,math,54,"2026-03-28 11:48:32"
112,science,4,"2026-03-28 11:48:32"
113,history,94,"2026-03-28 11:48:32"
114,math,90,"2026-03-28 11:48:32"
115,science,55,"2026-03-28 11:48:32"
116,history,77,"2026-03-28 11:48:32"
117,math,37,"2026-03-28 11:48:32"
118,science,0,"2026-03-28 11:48:32"
119,history,70,"2026-03-28 11:48:32"
120,math,91,"2026-03-28 11:48:32"
121,science,26,"2026-03-28 11:48:32"
122,history,81,"2026-03-28 11:48:32"
123,math,70,"2026-03-28 11:48:32"
124,science,79,"2026-03-28 11:48:32"
125,history,10,"2026-03-28 11:48:32"
126,math,16,"2026-03-28 11:48:32"
127,science,36,"2026-03-28 11:48:32"
128,history,41,"2026-03-28 11:48:32"
129,math,67,"2026-03-28 11:48:32"
130,science,27,"2026-03-28 11:48:32"
131,history,44,"2026-03-28 11:48:32"
132,math,37,"2026-03-28 11:48:32"
133,science,87,"2026-03-28 11:48:32"
134,history,79,"2026-03-28 11:48:32"
135,math,21,"2026-03-28 11:48:32"
136,science,27,"2026-03-28 11:48:32"
137,history,82,"2026-03-28 11:48:32"
138,math,97,"2026-03-28 11:48:32"
139,science,33,"2026-03-28 11:48:32"
140,history,12,"2026-03-28 11:48:32"
141,math,58,"2026-03-28 11:48:32"
142,science,44,"2026-03-28 11:48:32"
143,history,77,"2026-03-28 11:48:32"
144,math,3,"2026-03-28 11:48:32"
145,science,2,"2026-03-28 11:48:32"
146,history,84,"2026-03-28 11:48:32"
147,math,25,"2026-03-28 11:48:32"
148,science,21,"2026-03-28 11:48:32"
149,history,46,"2026-03-28 11:48:32"
150,math,96,"2026-03-28 11:48:32"
151,science,74,"2026-03-28 11:48:32"
152,history,14,"2026-03-28 11:48:32"
153,math,18,"2026-03-28 11:48:32"
154,science,5,"2026-03-28 11:48:32"
155,history,46,"2026-03-28 11:48:32"
156,math,70,"2026-03-28 11:48:32"
157,science,57,"2026-03-28 11:48:32"
158,history,67,"2026-03-28 11:48:32"
159,math,93,"2026-03-28 11:48:32"
160,science,68,"2026-03-28 11:48:32"
161,history,41,"2026-03-28 11:48:32"
162,math,8,"2026-03-28 11:48:32"
163,science,18,"2026-03-28 11:48:32"
164,history,24,"2026-03-28 11:48:32"
165,math,21,"2026-03-28 11:48:32"
166,science,37,"2026-03-28 11:48:32"
167,history,96,"2026-03-28 11:48:32"
168,math,74,"2026-03-28 11:48:32"
169,science,66,"2026-03-28 11:48:32"
170,history,41,"2026-03-28 11:48:32"
171,math,19,"2026-03-28 11:48:32"
172,science,70,"2026-03-28 11:48:32"
173,history,72,"2026-03-28 11:48:32"
174,math,0,"2026-03-28 11:48:32"
175,science,28,"2026-03-28 11:48:32"
176,history,88,"2026-03-28 11:48:32"
177,math,27,"2026-03-28 11:48:32"
178,science,43,"2026-03-28 11:48:32"
179,history,60,"2026-03-28 11:48:32"
180,math,65,"2026-03-28 11:48:32"
181,science,90,"2026-03-28 11:48:32"
182,history,77,"2026-03-28 11:48:32"
183,math,81,"2026-03-28 11:48:32"
184,science,20,"2026-03-28 11:48:32"
185,history,28,"2026-03-28 11:48:32"
186,math,42,"2026-03-28 11:48:32"
187,science,96,"2026-03-28 11:48:32"
188,history,35,"2026-03-28 11:48:32"
189,math,80,"2026-03-28 11:48:32"
190,science,25,"2026-03-28 11:48:32"
191,history,16,"2026-03-28 11:48:32"
192,math,87,"2026-03-28 11:48:32"
193,science,6,"2026-03-28 11:48:32"
194,history,21,"2026-03-28 11:48:32"
195,math,72,"2026-03-28 11:48:32"
196,science,88,"2026-03-28 11:48:32"
197,history,54,"2026-03-28 11:48:32"
198,math,97,"2026-03-28 11:48:32"
199,science,82,"2026-03-28 11:48:32"
200,history,30,"2026-03-28 11:48:32"
201,math,83,"2026-03-28 11:48:32"
202,science,37,"2026-03-28 11:48:32"
203,history,85,"2026-03-28 11:48:32"
204,math,24,"2026-03-28 11:48:32"
205,science,73,"2026-03-28 11:48:32"
206,history,50,"2026-03-28 11:48:32"
207,math,2,"2026-03-28 11:48:32"
208,science,43,"2026-03-28 11:48:32"
209,history,6,"2026-03-28 11:48:32"
210,math,42,"2026-03-28 11:48:32"
211,science,34,"2026-03-28 11:48:32"
212,history,15,"2026-03-28 11:48:32"
213,math,27,"2026-03-28 11:48:32"
214,science,28,"2026-03-28 11:48:32"
215,history,44,"2026-03-28 11:48:32"
216,math,70,"2026-03-28 11:48:32"
217,science,19,"2026-03-28 11:48:32"
218,history,81,"2026-03-28 11:48:32"
219,math,99,"2026-03-28 11:48:32"
220,science,3,"2026-03-28 11:48:32"
221,history,60,"2026-03-28 11:48:32"
222,math,83,"2026-03-28 11:48:32"
223,science,46,"2026-03-28 11:48:32"
